_tid_,attribute,init_val,correct_val,pred_val,pred_prob,domain_dict
322,address,900 n north branch,900 n north branch st,900 n north branch,0.247632727026939,"{""1265 n milwaukee ave"": 0.18105608, ""1550 n kingsbury st"": 0.20391245, ""2637 s throop st"": 0.02033829, ""2637 s throop st fl"": 0.11028386, ""900 n north branch"": 0.24763273, ""900 n north branch st"": 0.23677665}"
322,facilitytype,restaurant,school,school,0.503139555454254,"{""grocery store"": 0.04507062, ""mobile food dispenser"": 0.023956735, ""restaurant"": 0.4278331, ""school"": 0.50313956}"
343,facilitytype,_nan_,grocery store,grocery store,0.537416696548462,"{""grocery store"": 0.5374167, ""restaurant"": 0.3232987, ""school"": 0.13928454}"
344,facilitytype,_nan_,grocery store,grocery store,0.537416696548462,"{""grocery store"": 0.5374167, ""restaurant"": 0.3232987, ""school"": 0.13928454}"
358,facilitytype,_nan_,restaurant,restaurant,0.689139544963837,"{""grocery store"": 0.12285283, ""mobile food dispenser"": 0.09371856, ""restaurant"": 0.68913954, ""school"": 0.09428913}"
434,facilitytype,_nan_,restaurant,restaurant,0.656955063343048,"{""grocery store"": 0.113050945, ""mobile food dispenser"": 0.09307979, ""restaurant"": 0.65695506, ""school"": 0.13691413}"
435,facilitytype,_nan_,restaurant,restaurant,0.656955063343048,"{""grocery store"": 0.113050945, ""mobile food dispenser"": 0.09307979, ""restaurant"": 0.65695506, ""school"": 0.13691413}"
545,facilitytype,_nan_,grocery store,restaurant,0.345465481281281,"{""grocery store"": 0.16016914, ""long term care"": 0.14101878, ""mobile food dispenser"": 0.15383165, ""restaurant"": 0.34546548, ""school"": 0.19951501}"
552,facilitytype,_nan_,restaurant,restaurant,0.70377516746521,"{""grocery store"": 0.10549931, ""long term care"": 0.08452078, ""restaurant"": 0.70377517, ""school"": 0.10620472}"
571,facilitytype,_nan_,restaurant,restaurant,0.622270405292511,"{""grocery store"": 0.2472993, ""restaurant"": 0.6222704, ""school"": 0.1304303}"
610,zip,_nan_,60622,60607,0.228160738945007,"{""60607"": 0.22816074, ""60611"": 0.16256808, ""60612"": 0.17572156, ""60617"": 0.13120314, ""60622"": 0.16324735, ""60640"": 0.13909906}"
615,facilitytype,liquor,restaurant,liquor,0.443261325359344,"{""grocery store"": 0.0405902, ""liquor"": 0.44326133, ""mobile food dispenser"": 0.036680594, ""restaurant"": 0.441998, ""school"": 0.03746991}"
621,facilitytype,grocery store,restaurant,grocery store,0.639345765113831,"{""grocery store"": 0.63934577, ""mobile food dispenser"": 0.033885498, ""restaurant"": 0.28794074, ""school"": 0.03882807}"
626,address,4358 w 51 st st,4358 w 51st st,4358 w 51st st,0.820366680622101,"{""2637 s throop st"": 0.019602073, ""4358 w 51 st st"": 0.16003123, ""4358 w 51st st"": 0.8203667}"
626,facilitytype,liquor,restaurant,restaurant,0.702490746974945,"{""grocery store"": 0.032075685, ""liquor"": 0.20682988, ""mobile food dispenser"": 0.026998425, ""restaurant"": 0.70249075, ""school"": 0.031605233}"
631,facilitytype,liquor,restaurant,restaurant,0.449056297540665,"{""grocery store"": 0.049657494, ""liquor"": 0.42986867, ""mobile food dispenser"": 0.037455056, ""restaurant"": 0.4490563, ""school"": 0.033962555}"
634,facilitytype,grocery store,restaurant,grocery store,0.667331218719482,"{""grocery store"": 0.6673312, ""mobile food dispenser"": 0.03288106, ""restaurant"": 0.26094803, ""school"": 0.038839743}"
646,facilitytype,grocery store,restaurant,grocery store,0.631562292575836,"{""grocery store"": 0.6315623, ""mobile food dispenser"": 0.03267093, ""pharmacy/grocery"": 0.029808061, ""restaurant"": 0.2730823, ""school"": 0.032876424}"
655,address,4358 w 51 st st,4358 w 51st st,4358 w 51st st,0.570563733577728,"{""324 n leavitt st"": 0.03337164, ""4358 w 51 st st"": 0.123101525, ""4358 w 51st st"": 0.57056373, ""4403 w madison st"": 0.09021486, ""5315-17 s pulaski rd"": 0.18274829}"
655,facilitytype,liquor,restaurant,restaurant,0.742517709732056,"{""grocery store"": 0.041762866, ""liquor"": 0.19329673, ""restaurant"": 0.7425177, ""school"": 0.022422712}"
664,address,4358 w 51 st st,4358 w 51st st,4358 w 51st st,0.758238792419434,"{""4358 w 51 st st"": 0.19333275, ""4358 w 51st st"": 0.7582388, ""4859 n milwaukee ave"": 0.048428528}"
664,facilitytype,liquor,restaurant,restaurant,0.756685197353363,"{""grocery store"": 0.0400659, ""liquor"": 0.18475041, ""restaurant"": 0.7566852, ""school"": 0.018498547}"
712,facilitytype,_nan_,restaurant,grocery store,0.444343775510788,"{""grocery store"": 0.44434378, ""mobile food dispenser"": 0.122569464, ""restaurant"": 0.27000308, ""school"": 0.16308367}"
713,facilitytype,_nan_,liquor,grocery store,0.444343775510788,"{""grocery store"": 0.44434378, ""mobile food dispenser"": 0.122569464, ""restaurant"": 0.27000308, ""school"": 0.16308367}"
724,facilitytype,_nan_,grocery store,grocery store,0.450062364339828,"{""grocery store"": 0.45006236, ""mobile food dispenser"": 0.12531479, ""restaurant"": 0.284282, ""school"": 0.14034078}"
742,facilitytype,_nan_,restaurant,restaurant,0.808154404163361,"{""daycare (2 - 6 years)"": 0.039976317, ""daycare above and under 2 years"": 0.03913976, ""grocery store"": 0.058900215, ""restaurant"": 0.8081544, ""school"": 0.05382936}"
748,facilitytype,_nan_,restaurant,restaurant,0.803461730480194,"{""grocery store"": 0.091905974, ""restaurant"": 0.80346173, ""school"": 0.10463234}"
759,facilitytype,_nan_,grocery store,restaurant,0.374887943267822,"{""grocery store"": 0.20259935, ""mobile food dispenser"": 0.17437626, ""restaurant"": 0.37488794, ""school"": 0.24813652}"
760,facilitytype,_nan_,grocery store,restaurant,0.374887943267822,"{""grocery store"": 0.20259935, ""mobile food dispenser"": 0.17437626, ""restaurant"": 0.37488794, ""school"": 0.24813652}"
839,zip,_nan_,60623,60618,0.484779387712479,"{""60605"": 0.33308724, ""60618"": 0.4847794, ""60653"": 0.18213338}"
859,facilitytype,_nan_,restaurant,restaurant,0.669255018234253,"{""grocery store"": 0.118041225, ""long term care"": 0.091492526, ""restaurant"": 0.669255, ""school"": 0.12121118}"
882,facilitytype,_nan_,wholesale,wholesale,0.604044258594513,"{""grocery store"": 0.05726566, ""mobile food dispenser"": 0.06140954, ""pharmacy/grocery"": 0.055516962, ""restaurant"": 0.14042039, ""school"": 0.08134313, ""wholesale"": 0.60404426}"
894,facilitytype,_nan_,bakery,school,0.522151708602905,"{""grocery store"": 0.14611715, ""restaurant"": 0.3317311, ""school"": 0.5221517}"
912,facilitytype,_nan_,grocery store,grocery store,0.416276037693024,"{""grocery store"": 0.41627604, ""mobile food dispenser"": 0.12955369, ""restaurant"": 0.31764314, ""school"": 0.13652718}"
914,facilitytype,_nan_,restaurant,restaurant,0.787693798542023,"{""grocery store"": 0.10456075, ""restaurant"": 0.7876938, ""school"": 0.10774544}"
965,facilitytype,_nan_,grocery store,restaurant,0.317296832799911,"{""daycare (2 years)"": 0.16153173, ""daycare above and under 2 years"": 0.16211915, ""grocery store"": 0.16027535, ""restaurant"": 0.31729683, ""school"": 0.19877689}"
989,facilitytype,_nan_,restaurant/gas station,restaurant,0.605632483959198,"{""daycare (2 - 6 years)"": 0.09253065, ""grocery store"": 0.092755355, ""mobile food dispenser"": 0.08951699, ""restaurant"": 0.6056325, ""school"": 0.11956446}"
1015,facilitytype,_nan_,grocery store,restaurant,0.492841511964798,"{""grocery store"": 0.22202094, ""restaurant"": 0.4928415, ""school"": 0.2851375}"
1109,facilitytype,_nan_,restaurant,restaurant,0.91534423828125,"{""grocery store"": 0.04650039, ""restaurant"": 0.91534424, ""school"": 0.038155306}"
1111,facilitytype,_nan_,restaurant,restaurant,0.74244898557663,"{""grocery store"": 0.1414698, ""restaurant"": 0.742449, ""school"": 0.11608124}"
1115,facilitytype,_nan_,restaurant,restaurant,0.453682035207748,"{""grocery store"": 0.2569828, ""restaurant"": 0.45368204, ""school"": 0.28933507}"
1120,facilitytype,liquor,restaurant,liquor,0.655066192150116,"{""grocery store"": 0.04470109, ""liquor"": 0.6550662, ""mobile food dispenser"": 0.039854035, ""restaurant"": 0.22169861, ""school"": 0.03868006}"
1121,facilitytype,liquor,restaurant,liquor,0.655066192150116,"{""grocery store"": 0.04470109, ""liquor"": 0.6550662, ""mobile food dispenser"": 0.039854035, ""restaurant"": 0.22169861, ""school"": 0.03868006}"
1189,facilitytype,_nan_,grocery store,restaurant,0.489312440156937,"{""grocery store"": 0.2767363, ""restaurant"": 0.48931244, ""school"": 0.2339513}"
1231,facilitytype,_nan_,grocery store,restaurant,0.405370652675629,"{""grocery store"": 0.2461798, ""mobile food dispenser"": 0.14992929, ""restaurant"": 0.40537065, ""school"": 0.19852032}"
1276,facilitytype,_nan_,shelter,restaurant,0.763056039810181,"{""grocery store"": 0.12704058, ""restaurant"": 0.76305604, ""school"": 0.10990339}"
1277,facilitytype,_nan_,restaurant,restaurant,0.763056039810181,"{""grocery store"": 0.12704058, ""restaurant"": 0.76305604, ""school"": 0.10990339}"
1285,facilitytype,_nan_,long term care,long term care,0.421000301837921,"{""grocery store"": 0.15178707, ""long term care"": 0.4210003, ""restaurant"": 0.27999347, ""school"": 0.14721918}"
1312,facilitytype,_nan_,restaurant,restaurant,0.711326956748962,"{""grocery store"": 0.11567208, ""juice and salad bar"": 0.08289714, ""restaurant"": 0.71132696, ""school"": 0.09010379}"
1364,facilitytype,_nan_,restaurant,restaurant,0.759137272834778,"{""grocery store"": 0.11701124, ""restaurant"": 0.7591373, ""school"": 0.123851515}"
1369,facilitytype,_nan_,restaurant,restaurant,0.491139799356461,"{""grocery store"": 0.2589784, ""restaurant"": 0.4911398, ""school"": 0.24988179}"
1382,address,11919 s avenue o ave fl,11919 s avenue o ave frnt,11919 s avenue o ave frnt,0.838390827178955,"{""11919 s avenue o ave fl"": 0.16160923, ""11919 s avenue o ave frnt"": 0.8383908}"
1414,facilitytype,wholesale,mobile food dispenser,mobile food dispenser,0.587907016277313,"{""grocery store"": 0.06274376, ""mobile food dispenser"": 0.587907, ""restaurant"": 0.12475064, ""school"": 0.076893345, ""wholesale"": 0.1477053}"
1415,facilitytype,mobile food,mobile food dispenser,mobile food dispenser,0.591116011142731,"{""grocery store"": 0.07340889, ""mobile food"": 0.14874908, ""mobile food dispenser"": 0.591116, ""restaurant"": 0.12327287, ""school"": 0.06345309}"
1465,facilitytype,_nan_,restaurant,restaurant,0.387451618909836,"{""daycare (2 - 6 years)"": 0.18163557, ""grocery store"": 0.22483948, ""restaurant"": 0.38745162, ""school"": 0.2060733}"
1481,facilitytype,_nan_,restaurant,restaurant,0.409733802080154,"{""daycare (2 - 6 years)"": 0.18805274, ""grocery store"": 0.22771958, ""restaurant"": 0.4097338, ""school"": 0.17449392}"
1484,facilitytype,kiosk,restaurant,restaurant,0.472175508737564,"{""grocery store"": 0.051670186, ""kiosk"": 0.42370993, ""restaurant"": 0.4721755, ""school"": 0.052444346}"
1492,facilitytype,commissary,restaurant,restaurant,0.445848494768143,"{""candy/gelato"": 0.04232219, ""commissary"": 0.14654756, ""grocery store"": 0.059328645, ""kiosk"": 0.246231, ""restaurant"": 0.4458485, ""school"": 0.059722163}"
1508,facilitytype,_nan_,grocery store,grocery store,0.444881528615952,"{""grocery store"": 0.44488153, ""mobile food dispenser"": 0.13905938, ""restaurant"": 0.2761326, ""school"": 0.1399265}"
1529,facilitytype,_nan_,restaurant,restaurant,0.776919364929199,"{""daycare (2 - 6 years)"": 0.07353594, ""grocery store"": 0.09606404, ""restaurant"": 0.77691936, ""school"": 0.053480614}"
1530,dbaname,nino's heroes elementary,family time eatery & snack shop,nino's heroes elementary,0.820071816444397,"{""cics-washington park"": 0.12003508, ""el tarasco"": 0.027388059, ""nino's heroes elementary"": 0.8200718, ""taqueria el tenampa"": 0.032505084}"
1547,facilitytype,_nan_,daycare (2 - 6 years),daycare (2 - 6 years),0.337743282318115,"{""daycare (2 - 6 years)"": 0.33774328, ""grocery store"": 0.17411228, ""restaurant"": 0.33608955, ""school"": 0.15205497}"
1589,facilitytype,_nan_,restaurant,restaurant,0.744750916957855,"{""daycare (2 - 6 years)"": 0.051535007, ""drug/grocery store"": 0.045081772, ""grocery store"": 0.06431553, ""navy pier kiosk"": 0.043058872, ""restaurant"": 0.7447509, ""school"": 0.051257886}"
1607,facilitytype,_nan_,shelter,restaurant,0.6905677318573,"{""grocery store"": 0.19678612, ""restaurant"": 0.69056773, ""school"": 0.112646215}"
1615,facilitytype,_nan_,restaurant,restaurant,0.754992723464966,"{""grocery store"": 0.12627117, ""restaurant"": 0.7549927, ""school"": 0.11873604}"
1618,facilitytype,_nan_,restaurant,restaurant,0.480000078678131,"{""grocery store"": 0.29173926, ""restaurant"": 0.48000008, ""school"": 0.22826073}"
1619,facilitytype,_nan_,restaurant,restaurant,0.905591368675232,"{""grocery store"": 0.052966733, ""restaurant"": 0.90559137, ""school"": 0.04144188}"
1620,facilitytype,_nan_,restaurant,restaurant,0.905591368675232,"{""grocery store"": 0.052966733, ""restaurant"": 0.90559137, ""school"": 0.04144188}"
1631,facilitytype,_nan_,deli,restaurant,0.510984003543854,"{""grocery store"": 0.26368716, ""restaurant"": 0.510984, ""school"": 0.2253288}"
1632,facilitytype,_nan_,deli,restaurant,0.510984003543854,"{""grocery store"": 0.26368716, ""restaurant"": 0.510984, ""school"": 0.2253288}"
1637,facilitytype,_nan_,restaurant,restaurant,0.762189030647278,"{""grocery store"": 0.12607661, ""restaurant"": 0.76218903, ""school"": 0.11173433}"
1651,facilitytype,_nan_,restaurant,restaurant,0.914304256439209,"{""grocery store"": 0.04662472, ""restaurant"": 0.91430426, ""school"": 0.03907104}"
1658,facilitytype,_nan_,restaurant,restaurant,0.417342305183411,"{""grocery store"": 0.21559823, ""mobile food dispenser"": 0.16322003, ""restaurant"": 0.4173423, ""school"": 0.20383945}"
1665,facilitytype,_nan_,coffee shop,restaurant,0.625499129295349,"{""grocery store"": 0.17898612, ""mobile food dispenser"": 0.09418956, ""restaurant"": 0.6254991, ""school"": 0.101325154}"
1678,address,11601 w touhy ave bldg,11601 w touhy ave,11601 w touhy ave,0.450561434030533,"{""11601 w touhy ave"": 0.45056143, ""11601 w touhy ave bldg"": 0.29865295, ""901 w weed st"": 0.2507856}"
1679,facilitytype,_nan_,restaurant,restaurant,0.82507050037384,"{""grocery store"": 0.06968945, ""hospital"": 0.034236938, ""long term care"": 0.030114055, ""restaurant"": 0.8250705, ""school"": 0.04088907}"
1695,address,11601 w touhy ave t2 f12,11601 w touhy ave,11601 w touhy ave t2 f12,0.833950221538544,"{""11601 w touhy ave"": 0.16604976, ""11601 w touhy ave t2 f12"": 0.8339502}"
1695,facilitytype,grocery store,restaurant,restaurant,0.520062148571014,"{""grocery store"": 0.40835506, ""mobile food dispenser"": 0.037598968, ""restaurant"": 0.52006215, ""school"": 0.03398381}"
1697,city,cchicago,chicago,chicago,0.878414869308472,"{""cchicago"": 0.12158512, ""chicago"": 0.87841487}"
1703,facilitytype,_nan_,grocery store,grocery store,0.518624126911163,"{""grocery store"": 0.5186241, ""long term care"": 0.10714883, ""restaurant"": 0.25635043, ""school"": 0.11787659}"
1708,city,cchicago,chicago,chicago,0.878588616847992,"{""cchicago"": 0.121411376, ""chicago"": 0.8785886}"
1712,facilitytype,_nan_,deli,restaurant,0.421878814697266,"{""grocery store"": 0.24887972, ""mobile food dispenser"": 0.13049947, ""restaurant"": 0.4218788, ""school"": 0.19874199}"
1715,facilitytype,_nan_,restaurant,restaurant,0.768140256404877,"{""grocery store"": 0.13907564, ""restaurant"": 0.76814026, ""school"": 0.09278401}"
1718,facilitytype,_nan_,restaurant,restaurant,0.4599329829216,"{""grocery store"": 0.2815549, ""restaurant"": 0.45993298, ""school"": 0.2585121}"
1719,facilitytype,_nan_,grocery store,grocery store,0.558737754821777,"{""grocery store"": 0.55873775, ""restaurant"": 0.28199017, ""school"": 0.15927207}"
1723,facilitytype,_nan_,restaurant,restaurant,0.405227690935135,"{""grocery store"": 0.24398586, ""kiosk"": 0.13522822, ""restaurant"": 0.4052277, ""school"": 0.21555823}"
1731,facilitytype,_nan_,restaurant,restaurant,0.691243827342987,"{""grocery store"": 0.12563686, ""mobile food dispenser"": 0.083427824, ""restaurant"": 0.6912438, ""school"": 0.09969149}"
1737,facilitytype,_nan_,restaurant,restaurant,0.765997409820557,"{""grocery store"": 0.115879275, ""restaurant"": 0.7659974, ""school"": 0.1181232}"
1744,facilitytype,_nan_,restaurant,restaurant,0.427751392126083,"{""grocery store"": 0.20991582, ""mobile food dispenser"": 0.18305632, ""restaurant"": 0.4277514, ""school"": 0.17927642}"
1748,facilitytype,_nan_,restaurant,restaurant,0.504085898399353,"{""grocery store"": 0.27201372, ""restaurant"": 0.5040859, ""school"": 0.22390047}"
1776,facilitytype,_nan_,restaurant,restaurant,0.472057491540909,"{""grocery store"": 0.23370743, ""restaurant"": 0.4720575, ""school"": 0.29423502}"
1807,facilitytype,_nan_,restaurant,restaurant,0.445121943950653,"{""grocery store"": 0.21570088, ""long term care"": 0.16407864, ""restaurant"": 0.44512194, ""school"": 0.1750985}"
1817,facilitytype,_nan_,grocery store,restaurant,0.412783563137054,"{""grocery store"": 0.1769794, ""long term care"": 0.16512944, ""restaurant"": 0.41278356, ""school"": 0.24510768}"
1833,facilitytype,_nan_,restaurant,restaurant,0.477006286382675,"{""grocery store"": 0.32444274, ""restaurant"": 0.4770063, ""school"": 0.19855087}"
1839,facilitytype,_nan_,grocery store,restaurant,0.400155812501907,"{""grocery store"": 0.1997343, ""mobile food dispenser"": 0.20176697, ""restaurant"": 0.4001558, ""school"": 0.19834287}"
1840,address,1800 e 79th st bldg,1800 e 79th st,1800 e 79th st,0.68374490737915,"{""1800 e 79th st"": 0.6837449, ""1800 e 79th st bldg"": 0.31625506}"
1846,facilitytype,_nan_,restaurant,restaurant,0.731056928634644,"{""grocery store"": 0.089037545, ""mobile food dispenser"": 0.085963584, ""restaurant"": 0.7310569, ""school"": 0.093941905}"
1847,facilitytype,_nan_,grocery store,grocery store,0.450145691633224,"{""grocery store"": 0.4501457, ""mobile food dispenser"": 0.13663869, ""restaurant"": 0.26205176, ""school"": 0.15116392}"
1860,facilitytype,_nan_,coffee shop,restaurant,0.655703604221344,"{""grocery store"": 0.12383819, ""mobile food dispenser"": 0.10956021, ""restaurant"": 0.6557036, ""school"": 0.11089792}"
1861,facilitytype,_nan_,restaurant,restaurant,0.655703604221344,"{""grocery store"": 0.12383819, ""mobile food dispenser"": 0.10956021, ""restaurant"": 0.6557036, ""school"": 0.11089792}"
1862,facilitytype,_nan_,restaurant,restaurant,0.655703604221344,"{""grocery store"": 0.12383819, ""mobile food dispenser"": 0.10956021, ""restaurant"": 0.6557036, ""school"": 0.11089792}"
1867,facilitytype,_nan_,mobile food dispenser,mobile food dispenser,0.705421209335327,"{""grocery store"": 0.09131913, ""mobile food dispenser"": 0.7054212, ""restaurant"": 0.13437895, ""school"": 0.06888075}"
1898,facilitytype,_nan_,daycare above and under 2 years,restaurant,0.421549558639526,"{""grocery store"": 0.20409039, ""long term care"": 0.19012533, ""restaurant"": 0.42154956, ""school"": 0.18423465}"
1928,facilitytype,kiosk,restaurant,kiosk,0.479535847902298,"{""grocery store"": 0.051973, ""kiosk"": 0.47953585, ""restaurant"": 0.41573945, ""school"": 0.052751698}"
1929,facilitytype,kiosk,restaurant,kiosk,0.479535847902298,"{""grocery store"": 0.051973, ""kiosk"": 0.47953585, ""restaurant"": 0.41573945, ""school"": 0.052751698}"
1934,facilitytype,kiosk,restaurant,kiosk,0.479535847902298,"{""grocery store"": 0.051973, ""kiosk"": 0.47953585, ""restaurant"": 0.41573945, ""school"": 0.052751698}"
1935,address,333 w 35 st,333 w 35th st,333 w 35 st,0.910735726356506,"{""333 w 35 st"": 0.9107357, ""333 w 35th st"": 0.08926436}"
1937,facilitytype,commissary,restaurant,restaurant,0.499954521656036,"{""commissary"": 0.16366829, ""grocery store"": 0.06412102, ""kiosk"": 0.20717081, ""restaurant"": 0.49995452, ""school"": 0.0650853}"
1938,facilitytype,kiosk,restaurant,kiosk,0.479535847902298,"{""grocery store"": 0.051973, ""kiosk"": 0.47953585, ""restaurant"": 0.41573945, ""school"": 0.052751698}"
1945,facilitytype,kiosk,restaurant,kiosk,0.466888189315796,"{""grocery store"": 0.04827876, ""kiosk"": 0.4668882, ""restaurant"": 0.42932516, ""school"": 0.055507883}"
1946,facilitytype,kiosk,restaurant,kiosk,0.466888189315796,"{""grocery store"": 0.04827876, ""kiosk"": 0.4668882, ""restaurant"": 0.42932516, ""school"": 0.055507883}"
1948,facilitytype,kiosk,restaurant,kiosk,0.466888189315796,"{""grocery store"": 0.04827876, ""kiosk"": 0.4668882, ""restaurant"": 0.42932516, ""school"": 0.055507883}"
1949,facilitytype,kiosk,restaurant,kiosk,0.466888189315796,"{""grocery store"": 0.04827876, ""kiosk"": 0.4668882, ""restaurant"": 0.42932516, ""school"": 0.055507883}"
1950,facilitytype,kiosk,restaurant,kiosk,0.466888189315796,"{""grocery store"": 0.04827876, ""kiosk"": 0.4668882, ""restaurant"": 0.42932516, ""school"": 0.055507883}"
1951,facilitytype,kiosk,restaurant,kiosk,0.441687107086182,"{""grocery store"": 0.045826137, ""kiosk"": 0.4416871, ""mobile food dispenser"": 0.04074887, ""restaurant"": 0.4177232, ""school"": 0.054014556}"
1952,facilitytype,kiosk,restaurant,kiosk,0.466888189315796,"{""grocery store"": 0.04827876, ""kiosk"": 0.4668882, ""restaurant"": 0.42932516, ""school"": 0.055507883}"
1953,facilitytype,kiosk,restaurant,restaurant,0.532356381416321,"{""grocery store"": 0.04757116, ""kiosk"": 0.36537817, ""restaurant"": 0.5323564, ""school"": 0.054694325}"
1968,address,2637 s throop st fl,2637 s throop st,2637 s throop st,0.766434848308563,"{""2637 s throop st"": 0.76643485, ""2637 s throop st fl"": 0.23356515}"
1968,facilitytype,_nan_,mobile food dispenser,mobile food dispenser,0.628742933273315,"{""grocery store"": 0.09555922, ""mobile food dispenser"": 0.62874293, ""restaurant"": 0.19591407, ""school"": 0.07978379}"
1970,address,2637 s throop st fl,2637 s throop st,2637 s throop st,0.723726868629456,"{""2637 s throop st"": 0.72372687, ""2637 s throop st fl"": 0.2762731}"
1981,facilitytype,_nan_,coffee shop,restaurant,0.357955366373062,"{""grocery store"": 0.21122581, ""mobile food dispenser"": 0.21667658, ""restaurant"": 0.35795537, ""school"": 0.21414225}"
2000,facilitytype,daycare (under 2 years),daycare above and under 2 years,daycare (under 2 years),0.470665812492371,"{""children's services facility"": 0.049347397, ""daycare (under 2 years)"": 0.4706658, ""daycare above and under 2 years"": 0.26807457, ""grocery store"": 0.067077994, ""restaurant"": 0.11277292, ""school"": 0.032061316}"
2003,facilitytype,_nan_,daycare above and under 2 years,restaurant,0.334438055753708,"{""children's services facility"": 0.16328487, ""grocery store"": 0.18452817, ""mobile food dispenser"": 0.15265633, ""restaurant"": 0.33443806, ""school"": 0.16509262}"
2004,facilitytype,_nan_,daycare above and under 2 years,restaurant,0.454486042261124,"{""children's services facility"": 0.18536447, ""grocery store"": 0.22547342, ""restaurant"": 0.45448604, ""school"": 0.13467604}"
2018,facilitytype,_nan_,restaurant,restaurant,0.436896234750748,"{""grocery store"": 0.19858369, ""long term care"": 0.1967351, ""restaurant"": 0.43689623, ""school"": 0.16778494}"
2019,facilitytype,_nan_,restaurant,restaurant,0.823000907897949,"{""grocery store"": 0.04608304, ""long term care"": 0.046796735, ""mobile food dispenser"": 0.044203594, ""restaurant"": 0.8230009, ""school"": 0.039915726}"
2041,facilitytype,_nan_,restaurant,restaurant,0.426535427570343,"{""grocery store"": 0.20738949, ""long term care"": 0.19503357, ""restaurant"": 0.42653543, ""school"": 0.17104156}"
2099,facilitytype,_nan_,restaurant,restaurant,0.340611308813095,"{""catering"": 0.13391435, ""daycare (2 - 6 years)"": 0.13072614, ""grocery store"": 0.21985024, ""restaurant"": 0.3406113, ""school"": 0.17489801}"
2114,city,cchicago,chicago,chicago,0.730383992195129,"{""cchicago"": 0.26961592, ""chicago"": 0.730384}"
