inspectionid,dbaname,akaname,license,facilitytype,risk,address,city,state,zip,inspectiondate,inspectiontype,results,latitude,longitude
52253,orange garden restaurant llc,orange garden restaurant llc,1942679,restaurant,risk 1 (high),1942 w irving park rd,chicago,il,60613,2010-05-05,canvass re-inspection,pass,41.95427602,-87.6780333
52254,red brick,red brick,1985321,restaurant,risk 1 (high),1938 w irving park rd,chicago,il,60613,2010-05-05,canvass,pass,41.95427796,-87.67788273
52255,red brick,red brick,1985322,restaurant,risk 3 (low),1938 irving park rd,chicago,il,60613,2010-05-05,canvass,pass,41.95427796,-87.67788273
52256,orange garden restaurant llc,orange garden restaurant llc,1942679,restaurant,risk 1 (high),1942 w irving park rd,chicago,il,60613,2010-05-11,suspected food poisoning,fail,41.95427602,-87.6780333
52257,passages  charter school,passages  charter school,66191,school,risk 1 (high),1643 w bryn mawr ave,chicago,il,60660,2010-05-12,canvass,pass,41.98334408,-87.6711545
52258,stockton,stockton,25501,school,risk 1 (high),4420 n beacon (1338w),chicago,il,60640,2010-05-18,canvass,fail,41.9623189,-87.66388983
52259,kit kat lounge and restaurant,kit kat lounge and restaurant,1044305,restaurant,risk 1 (high),3700 n halsted st,chicago,il,60613,2010-05-18,canvass,pass w/ conditions,41.94914734,-87.64968984
52260,katerina's street of dreams,katerina's street of dreams,79417,restaurant,risk 1 (high),1920 w irving park rd,chicago,il,60613,2010-05-21,canvass,pass,41.9542867,-87.67720518
52261,oakwood '83,oakwood '83,6282,restaurant,risk 1 (high),1959 w montrose ave,chicago,il,60613,2010-05-24,canvass re-inspection,pass,41.96135532,-87.67830516
52262,stockton,stockton,25501,school,risk 1 (high),4420 n beacon (1338w),chicago,il,60640,2010-05-26,canvass re-inspection,pass,41.9623189,-87.66388983
52263,cordis brothers supper club,the  piggery,1800521,restaurant,risk 1 (high),1625 w irving park rd,chicago,il,60613,2010-06-09,canvass,pass w/ conditions,41.95416537,-87.67012784
52264,young's restaurant,young's restaurant,1356070,restaurant,risk 1 (high),3949 n ashland ave,chicago,il,60613,2010-06-10,complaint,pass w/ conditions,41.95387291,-87.66888934
52265,filipino american council,filipino american council,39977,restaurant,risk 2 (medium),1332 w irving park rd,chicago,il,60613,2010-06-11,complaint,pass,41.95447295,-87.66358644
52266,filipino american council,rizal center(golden diner),2032636,golden diner,risk 1 (high),1332 w irving park rd,chicago,il,60613,2010-06-11,canvass,pass,41.95447295,-87.66358644
52267,sarpinos pizzeria,sarpinos pizzeria,1899258,restaurant,risk 2 (medium),1435 w montrose ave,chicago,il,60613,2010-06-24,short form complaint,pass,41.96152004,-87.66634371
52268,"chicago montessori, nfp","chicago montessori, nfp",1845360,daycare (2 - 6 years),risk 1 (high),1713 w cullom ave,chicago,il,60613,2010-06-30,canvass re-inspection,pass,41.95962989,-87.67135903
52269,holiday club,holiday club,1352227,restaurant,risk 1 (high),4000 n sheridan rd,chicago,il,60613,2010-06-30,canvass,fail,41.95453269,-87.65469302
52270,chicago's pizza,chicago's pizza,1336958,restaurant,risk 1 (high),1919-1921 w montrose ave,chicago,il,60613,2010-07-01,canvass,pass,41.96137293,-87.67682523
52271,dollop  coffee co.,dollop  coffee co.,1542300,restaurant,risk 2 (medium),4181 n clarendon ave,chicago,il,60613,2010-07-07,canvass,pass w/ conditions,41.95794015,-87.64965206
52272,holiday club,holiday club,1352227,restaurant,risk 1 (high),4000 n sheridan rd,chicago,il,60613,2010-07-08,canvass re-inspection,pass,41.95453269,-87.65469302
54212,dons pizza & grill,dons pizza & grill,1992130,restaurant,risk 1 (high),5915 w division st,chicago,il,60651,2010-01-05,complaint,pass,41.90191359,-87.77363179
54213,sunset liquors,sunset liquors,13541,grocery store,risk 3 (low),5921 w division st,chicago,il,60651,2010-01-05,canvass,pass,41.90190966,-87.77390477
54214,dunkin donuts / baskin robbins,dunkin donuts / baskin robbins,1649847,restaurant,risk 2 (medium),800 n kedzie ave,chicago,il,60651,2010-01-06,canvass,pass w/ conditions,41.89561531,-87.70670533
54215,j & j fish,j & j fish,1194275,restaurant,risk 2 (medium),800 n kedzie ave,chicago,il,60651,2010-01-06,complaint,pass,41.89561531,-87.70670533
54216,blue sharks,blue sharks,1974637,restaurant,risk 2 (medium),3450 w chicago ave,chicago,il,60651,2010-01-06,complaint,pass w/ conditions,41.89559733,-87.71344867
54217,barney's pizza,barney's pizza,1742764,restaurant,risk 1 (high),5648 w chicago ave,chicago,il,60651,2010-01-07,complaint,fail,41.89493601,-87.76732423
54218,happy dog avenue,happy dog avenue,1819281,restaurant,risk 1 (high),5614 w chicago ave,chicago,il,60651,2010-01-07,canvass,pass,41.89495336,-87.76606263
54219,"monticello food mart, inc","monticello food mart, inc",2013259,grocery store,risk 2 (medium),1000 n monticello ave,chicago,il,60651,2010-01-08,license re-inspection,pass,41.89918623,-87.71780427
54220,abe's and tommie's carryout,abe's and tommie's carryout,2008833,restaurant,risk 2 (medium),5107 w chicago ave,chicago,il,60651,2010-01-11,license,fail,41.8948497,-87.75348965
54221,milton brunson elementary,milton brunson elementary,2034637,school,risk 1 (high),932 n central ave,chicago,il,60651,2010-01-11,complaint,pass,41.89767761,-87.76564297
54222,yo mamas pizza,yo mamas pizza,1938489,restaurant,risk 1 (high),633 n cicero ave,chicago,il,60644,2010-01-11,complaint,fail,41.89231802,-87.74556872
54223,subway,subway,1909605,restaurant,risk 1 (high),800 n kedzie ave,chicago,il,60651,2010-01-12,canvass,pass,41.89561531,-87.70670533
54224,beefee submarine inc,beefee submarine inc,60297,restaurant,risk 2 (medium),3357 w chicago ave,chicago,il,60651,2010-01-12,canvass,pass,41.89539877,-87.71121631
54225,little caesar pizza,little caesar pizza,1868353,restaurant,risk 2 (medium),800 n kedzie ave,chicago,il,60651,2010-01-12,canvass,pass w/ conditions,41.89561531,-87.70670533
54226,see thru chinese restaurant,see thru chinese restaurant,1227055,restaurant,risk 1 (high),800 n kedzie ave,chicago,il,60651,2010-01-12,canvass,pass,41.89561531,-87.70670533
54227,subway,subway,1986621,restaurant,risk 1 (high),5619 w division st,chicago,il,60651,2010-01-13,canvass,pass,41.9020223,-87.76641277
54228,captain hooks fish & chicken,firehouse steak and lemonade,1922193,restaurant,risk 2 (medium),5601 w division st,chicago,il,60651,2010-01-13,canvass,fail,41.90203403,-87.76571211
54229,al's food mart,al's food mart,1943229,grocery store,risk 2 (medium),5401 w augusta blvd,chicago,il,60651,2010-01-11,complaint,fail,41.89842933,-87.7609112
54230,al's food mart,al's food mart,1943229,grocery store,risk 2 (medium),5401 w augusta blvd,chicago,il,60651,2010-01-14,complaint,pass,41.89842933,-87.7609112
54231,new philadelphia c.o.g.i.c.,new philadelphia c.o.g.i.c.,1916655,grocery store,risk 3 (low),205 s cicero ave,chicago,il,60644,2010-01-20,canvass,pass,41.87771536,-87.74503186
54232,abe's and tommie's carryout,abe's and tommie's carryout,2008833,restaurant,risk 2 (medium),5107 w chicago ave,chicago,il,60651,2010-01-21,license re-inspection,pass,41.8948497,-87.75348965
54233,macy's gyros,macy's gyros,2014079,restaurant,risk 2 (medium),4201 w division st,chicago,il,60651,2010-01-22,license,pass,41.90247921,-87.73134482
54234,church's chicken # 577,church's chicken # 577,1273264,restaurant,risk 2 (medium),431 n austin blvd,chicago,il,60644,2010-01-22,complaint,pass,41.88799311,-87.77476283
54235,qorner foods,qorner foods,2013363,grocery store,risk 3 (low),5556 w harrison st,chicago,il,60644,2010-01-22,license,fail,41.87294753,-87.76377219
54236,"madison food mart, inc","madison food mart, inc",2014259,grocery store,risk 3 (low),5402 w madison st,chicago,il,60644,2010-01-25,license,fail,41.88041576,-87.76027851
54237,more for less,more for less,1948557,grocery store,risk 2 (medium),4851 w chicago ave,chicago,il,60651,2010-01-25,complaint,pass,41.89487825,-87.74782979
54238,swan's food & deli,swan's food & deli,1646850,grocery store,risk 2 (medium),1325 n central ave,chicago,il,60651,2010-01-26,canvass,pass,41.90481036,-87.76560356
54239,mcdonald's restaurant,mcdonald's restaurant,1193659,restaurant,risk 2 (medium),5015 w madison st,chicago,il,60644,2010-01-27,canvass,fail,41.88031771,-87.75074636
54240,burger king #12371,burger king #12371,1698081,restaurant,risk 2 (medium),3953 w chicago ave,chicago,il,60651,2010-02-01,complaint,pass,41.89526095,-87.72574429
54241,jimmy's sandwich shop,jimmy's sandwich shop,6294,restaurant,risk 2 (medium),4000 w grand ave,chicago,il,60651,2010-02-01,complaint,pass,41.90625887,-87.72635348
54242,grand sub,grand sub,1095025,restaurant,risk 2 (medium),3952 w grand ave,chicago,il,60651,2010-02-01,canvass,pass,41.90600597,-87.72572323
54243,mcdonald's restaurant,mcdonald's restaurant,1193659,restaurant,risk 2 (medium),5015 w madison st,chicago,il,60644,2010-02-05,canvass re-inspection,pass,41.88031771,-87.75074636
54244,chi-town fried chicken,chi-town fried chicken,1899172,restaurant,risk 1 (high),4152 w chicago ave,chicago,il,60651,2010-02-16,canvass,pass,41.89539165,-87.73068265
54245,papa charlies,papa charlies,1675267,restaurant,risk 1 (high),1206 n central ave,chicago,il,60651,2010-02-16,canvass,pass,41.90235982,-87.76580522
54246,mr. philly,mr. philly,1649619,restaurant,risk 2 (medium),5254 w chicago ave,chicago,il,60651,2010-02-16,complaint,fail,41.89502331,-87.75783481
54247,depriest elementary,depriest elementary,26631,school,risk 1 (high),139 s parkside ave,chicago,il,60644,2010-02-17,canvass,pass,41.87799914,-87.7662615
54248,mr. philly,mr. philly,1649619,restaurant,risk 2 (medium),5254 w chicago ave,chicago,il,60651,2010-02-17,complaint,fail,41.89502331,-87.75783481
54249,sun  sumrine fast food,sun  sumrine fast food,1225837,restaurant,risk 2 (medium),321 n laramie ave,chicago,il,60644,2010-02-18,complaint,fail,41.88633174,-87.75513777
54250,rib place inc.,rib place,2017189,restaurant,risk 1 (high),5607 w corcoran pl,chicago,il,60644,2010-02-18,license,fail,41.88710618,-87.76543552
54251,mcnair,mcnair,26301,school,risk 1 (high),4820 w walton st.,chicago,il,60651,2010-02-22,canvass,pass,41.8978464,-87.74674645
54252,market fresh inc,market fresh inc,52593,grocery store,risk 2 (medium),800 n kedzie ave,chicago,il,60651,2010-02-22,canvass,pass,41.89561531,-87.70670533
54253,van-central food & liqs,van-central food & liqs,6023,grocery store,risk 3 (low),5575 w van buren st,chicago,il,60644,2010-02-25,complaint,fail,41.87462048,-87.76450474
54254,mr. philly,mr. philly,1649619,restaurant,risk 2 (medium),5254 w chicago ave,chicago,il,60651,2010-03-02,complaint re-inspection,pass,41.89502331,-87.75783481
54255,j & w jamaican jerk restaurant,j & w jamaican jerk restaurant,2021433,restaurant,risk 1 (high),13 n laramie ave,chicago,il,60644,2010-03-04,license,pass,41.88078915,-87.75493376
54256,see thru chinese kitchen,see thru chinese kitchen,1770322,restaurant,risk 1 (high),5656 w roosevelt rd,chicago,il,60644,2010-03-08,complaint,pass,41.86567514,-87.76662585
58225,whole foods market,whole foods market,1933690,grocery store,risk 1 (high),1550 n kingsbury st,chicago,il,60642,2010-01-05,complaint,pass,41.90939879,-87.6530507
58226,kikka- kingsbury,kikka- kingsbury,1968898,restaurant,risk 1 (high),1550 n kingsbury st,chicago,il,60642,2010-01-05,canvass,pass,41.90939879,-87.6530507
58227,dunkin donuts,dunkin donuts,2013341,restaurant,risk 2 (medium),2805 w division st,chicago,il,60622,2010-01-06,license re-inspection,pass,41.90281333,-87.69712881
58228,podhalanka restaurant,podhalanka restaurant,10559,restaurant,risk 1 (high),1549 w division st,chicago,il,60642,2010-01-06,canvass,fail,41.90324287,-87.66706205
58229,filter coffee lounge,filter,2013495,restaurant,risk 1 (high),1373 n milwaukee ave,chicago,il,60622,2010-01-06,consultation,fail,41.90686821,-87.67174892
58230,chicago cafe caterers,chicago cafe caterers,1932046,catering,risk 1 (high),1629 w grand ave,chicago,il,60622,2010-01-06,canvass,pass,41.89085551,-87.6683029
58231,delux bar & grill,delux bar & grill,1332477,restaurant,risk 1 (high),669 n milwaukee ave,chicago,il,60642,2010-01-06,canvass,pass,41.8938344,-87.65146287
58232,the dining room at kendall nfp,the dining room,1963511,restaurant,risk 1 (high),900 n north branch st,chicago,il,60642,2010-01-07,canvass,pass,41.89896533,-87.64809026
58233,subway,subway,28635,restaurant,risk 1 (high),1129 n western ave,chicago,il,60622,2010-01-08,canvass,fail,41.90204391,-87.68685825
58235,the dining room at kendall nfp,the dining room,1979756,restaurant,risk 1 (high),900 n north branch st,chicago,il,60642,2010-01-07,canvass,pass,41.89896533,-87.64809026
58236,the dining room at kendall nfp,the dining room,1979756,restaurant,risk 1 (high),900 n north branch st,chicago,il,60642,2010-01-07,canvass,pass,41.89896533,-87.64809026
58237,the dining room at kendall nfp,the dining room,1963512,restaurant,risk 1 (high),900 n north branch st,chicago,il,60642,2010-01-07,canvass,pass,41.89896533,-87.64809026
58239,pockets,pockets,1913960,restaurant,risk 2 (medium),1001 w north ave,chicago,il,60622,2010-01-08,complaint,pass,41.91072929,-87.65315262
58241,aberdeen,aberdeen,1245120,restaurant,risk 1 (high),1856 w north ave,chicago,il,60622,2010-01-08,no entry,pass,41.91063613,-87.67487609
58242,latin american rest & lounge,latin american rest & lounge,1058,restaurant,risk 1 (high),2743 w division st,chicago,il,60622,2010-01-08,canvass,fail,41.90282133,-87.6961433
58243,von humboldt c.p.c.,von humboldt c.p.c.,25692,school,risk 1 (high),1345 n rockwell st,chicago,il,60622,2010-01-11,canvass,pass,41.90616869,-87.69188625
58244,the parthenon restaurant inc,the parthenon restaurant inc,32259,restaurant,risk 1 (high),314 s halsted st,chicago,il,60661,2010-01-11,complaint re-inspection,pass,41.87746697,-87.64737446
58245,the silver palm restaurant,the silver palm restaurant,1168049,restaurant,risk 1 (high),768 n milwaukee ave,chicago,il,60642,2010-01-11,no entry,pass,41.89575893,-87.65489622
58246,the juicy wine co.,the juicy wine co.,1738131,restaurant,risk 2 (medium),694 n milwaukee ave,chicago,il,60642,2010-01-11,canvass,pass w/ conditions,41.89422978,-87.65252071
58247,iggy's,iggy's,23502,,risk 2 (medium),700 n milwaukee ave,chicago,il,60622,2010-01-11,out of business,pass,41.8943325,-87.65268021
58248,barista coffee house inc.,barista coffee house inc.,1579130,restaurant,risk 2 (medium),852 n damen ave,chicago,il,60622,2010-01-11,canvass,pass,41.89749701,-87.67724471
58249,bagel on damen,bagel on damen,2009342,restaurant,risk 2 (medium),1252 n damen ave,chicago,il,60622,2010-01-12,license,fail,41.9048842,-87.67745148
58250,von humboldt,von humboldt,25691,school,risk 1 (high),2620 w hirsch st,chicago,il,60622,2010-01-13,canvass,pass,41.90672216,-87.69300325
58251,podhalanka restaurant,podhalanka restaurant,10559,restaurant,risk 1 (high),1549 w division st,chicago,il,60642,2010-01-13,canvass re-inspection,pass,41.90324287,-87.66706205
58252,jam,jam,1979195,restaurant,risk 1 (high),937-939 n damen ave,chicago,il,60622,2010-01-13,complaint,pass w/ conditions,41.89886802,-87.67698935
58253,jukin '  pizza,jukin '  pizza,1618939,,risk 1 (high),2640 w chicago ave,chicago,il,60622,2010-01-13,out of business,pass,41.89578616,-87.69342746
58254,hole in one pizza,hole in one pizza,1225184,,risk 1 (high),2640 w chicago ave,chicago,il,60622,2010-01-13,out of business,pass,41.89578616,-87.69342746
58255,hole-in-one-pizza,hole-in-one-pizza,66812,,risk 1 (high),2640 w chicago ave,chicago,il,60622,2010-01-13,out of business,pass,41.89578616,-87.69342746
58256,taco el jaliciense,taco el jaliciense,1478565,restaurant,risk 1 (high),2859 w chicago ave,chicago,il,60622,2010-01-13,canvass,pass,41.89552708,-87.69909818
58257,tantrik chicago,tantrik chicago,1974373,liquor,risk 1 (high),800 w superior st,chicago,il,60642,2010-01-19,license,fail,41.89566757,-87.64777938
58258,bagel on damen,bagel on damen,2009342,restaurant,risk 2 (medium),1252 n damen ave,chicago,il,60622,2010-01-19,license re-inspection,pass,41.9048842,-87.67745148
58259,wendy's #001206,wendy's #001206,6773,restaurant,risk 1 (high),1623 w division st,chicago,il,60622,2010-01-19,suspected food poisoning,fail,41.90322156,-87.66848596
58260,santullo's eatery,santullo's eatery,1767714,restaurant,risk 1 (high),1943-1945 w north ave,chicago,il,60622,2010-01-20,complaint,fail,41.91038686,-87.67683124
58261,jerry's sandwiches,jerry's sandwiches,1985220,restaurant,risk 1 (high),1938-1940 w division st,chicago,il,60622,2010-01-21,license,fail,41.90331444,-87.67641672
58262,jerry's sandwiches,jerry's sandwiches,1985222,restaurant,risk 1 (high),1938-1940 w division st,chicago,il,60622,2010-01-21,license,fail,41.90331444,-87.67641672
58263,division draft,division draft,1800100,restaurant,risk 2 (medium),2525 w division st,chicago,il,60622,2010-01-21,no entry,pass,41.90287407,-87.69050019
58264,trinidad head start,trinidad head start,21725,daycare (2 - 6 years),risk 1 (high),2921 w division st,chicago,il,60622,2010-01-21,license,fail,41.90278482,-87.70031498
58266,subway,subway,28635,restaurant,risk 1 (high),1129 n western ave,chicago,il,60622,2010-01-22,canvass re-inspection,pass,41.90204391,-87.68685825
58267,latin american rest & lounge,latin american rest & lounge,1058,restaurant,risk 1 (high),2743 w division st,chicago,il,60622,2010-01-22,canvass re-inspection,pass,41.90282133,-87.6961433
58268,la plena restaurant,la plena restaurant,1844120,restaurant,risk 1 (high),2617 w division st,chicago,il,60622,2010-01-22,canvass,pass,41.90285201,-87.69268542
58269,santullo's eatery,santullo's eatery,1767714,restaurant,risk 1 (high),1943-1945 w north ave,chicago,il,60622,2010-01-22,complaint re-inspection,pass,41.91038686,-87.67683124
58270,debonair social club,debonair,1226806,liquor,risk 2 (medium),1575 n milwaukee ave,chicago,il,60622,2010-01-22,canvass re-inspection,pass,41.91021618,-87.67698445
58271,carpenter,carpenter,22561,school,risk 1 (high),1250 w erie st,chicago,il,60622,2010-01-25,canvass,pass,41.8935757,-87.65936676
58272,golden diner,west town logan square,2038643,golden diner,risk 1 (high),1613 w chicago ave,chicago,il,60622,2010-01-25,canvass,pass w/ conditions,41.89595485,-87.66782142
58273,bite,bite,51992,restaurant,risk 1 (high),1039 n western ave,chicago,il,60622,2010-01-25,canvass,fail,41.90052793,-87.68681613
58274,alliance bakery,alliance bakery,1820302,bakery,risk 2 (medium),1736 w division st,chicago,il,60622,2010-01-25,complaint,fail,41.90338992,-87.67152182
58275,ameer kabob,ameer kabob,2016793,restaurant,risk 1 (high),1050 n milwaukee ave,chicago,il,60642,2010-01-26,license,fail,41.90088615,-87.66285624
58276,the red canary,the red canary,1954520,restaurant,risk 1 (high),691-695 n milwaukee ave,chicago,il,60642,2010-01-26,no entry,fail,41.89427507,-87.65214171
58277,wendy's #001206,wendy's #001206,6773,restaurant,risk 1 (high),1623 w division st,chicago,il,60622,2010-01-26,suspected food poisoning re-inspection,pass,41.90322156,-87.66848596
58278,filter coffee lounge,filter,2013495,restaurant,risk 1 (high),1373 n milwaukee ave,chicago,il,60622,2010-01-27,license,pass,41.90686821,-87.67174892
