tid,attribute,correct_val
24,inspectiondate,2010-01-26
24,results,pass
24,longitude,-87.7657438
24,state,il
24,akaname,dr. jorge prieto school
24,latitude,41.92131717
24,dbaname,jorge prieto
24,facilitytype,school
25,city,chicago
25,zip,60639
25,risk,risk 1 (high)
25,license,1953320
25,inspectiontype,canvass
25,inspectionid,48221
25,address,5134 w grand ave
25,inspectiondate,2010-01-26
25,results,fail
25,longitude,-87.75474306
25,state,il
25,akaname,taqueria la paz
25,latitude,41.91697889
25,dbaname,taqueria la paz
25,facilitytype,restaurant
26,city,chicago
26,zip,60639
26,risk,risk 1 (high)
26,license,22401
26,inspectiontype,canvass
26,inspectionid,48222
26,address,2035 n mobile
26,inspectiondate,2010-01-28
26,results,fail
26,longitude,-87.78266267
26,state,il
26,akaname,burbank elementary school
26,latitude,41.91759334
26,dbaname,burbank
26,facilitytype,school
27,city,chicago
27,zip,60639
27,risk,risk 1 (high)
27,license,1514780
27,inspectiontype,canvass
27,inspectionid,48223
27,address,6345 w grand ave
27,inspectiondate,2010-01-28
27,results,pass
27,longitude,-87.78461492
27,state,il
27,akaname,el guanaco 2
27,latitude,41.92226642
27,dbaname,el guanaco 2
27,facilitytype,restaurant
28,city,chicago
28,zip,60639
28,risk,risk 1 (high)
28,license,2017606
28,inspectiontype,license
28,inspectionid,48224
28,address,5931 w north ave
28,inspectiondate,2010-02-08
28,results,fail
28,longitude,-87.77445019
28,state,il
28,akaname,joe's barbecue & fish # 2
28,latitude,41.90915796
28,dbaname,joe's barbecue & fish # 2
28,facilitytype,restaurant
29,city,chicago
29,zip,60707
29,risk,risk 1 (high)
29,license,15783
29,inspectiontype,canvass
29,inspectionid,48225
29,address,2211 n oak park ave
29,inspectiondate,2010-03-02
29,results,pass
29,longitude,-87.7949943
29,state,il
29,akaname,shriners hospitals for children
29,latitude,41.92033617
29,dbaname,shriners hospitals for children
29,facilitytype,hospital
30,city,chicago
30,zip,60707
30,risk,risk 1 (high)
30,license,15784
30,inspectiontype,canvass
30,inspectionid,48226
30,address,2211 n oak park ave
30,inspectiondate,2010-03-02
30,results,pass
30,longitude,-87.7949943
30,state,il
30,akaname,shriners hospitals for children
30,latitude,41.92033617
30,dbaname,shriners hospitals for children
30,facilitytype,hospital
31,city,chicago
31,zip,60639
31,risk,risk 2 (medium)
31,license,1933100
31,inspectiontype,canvass
31,inspectionid,48227
31,address,5133 w north ave
31,inspectiondate,2010-03-10
31,results,pass
31,longitude,-87.75476387
31,state,il
31,akaname,mc donald's
31,latitude,41.90940466
31,dbaname,mc donald's
31,facilitytype,restaurant
32,city,chicago
32,zip,60639
32,risk,risk 1 (high)
32,license,2021735
32,inspectiontype,license re-inspection
32,inspectionid,48228
32,address,5933 w north ave
32,inspectiondate,2010-03-19
32,results,pass
32,longitude,-87.77452778
32,state,il
32,akaname,taste  of joi restaurant
32,latitude,41.909157
32,dbaname,taste of joi restaurant cafe b
32,facilitytype,restaurant
33,city,chicago
33,zip,60639
33,risk,risk 1 (high)
33,license,1095992
33,inspectiontype,canvass
33,inspectionid,48229
33,address,4770 w grand ave
33,inspectiondate,2010-03-19
33,results,pass
33,longitude,-87.74586369
33,state,il
33,akaname,las islas marias
33,latitude,41.91399921
33,dbaname,las islas marias
33,facilitytype,restaurant
34,city,chicago
34,zip,60707
34,risk,risk 1 (high)
34,license,2032324
34,inspectiontype,license
34,inspectionid,48230
34,address,6924 w grand ave
34,inspectiondate,2010-05-06
34,results,fail
34,longitude,-87.79876127
34,state,il
34,akaname,pizzaro's
34,latitude,41.92367998
34,dbaname,pizzaro's
34,facilitytype,restaurant
35,city,chicago
35,zip,60657
35,risk,risk 1 (high)
35,license,2013328
35,inspectiontype,license re-inspection
35,inspectionid,52234
35,address,608 w barry ave
35,inspectiondate,2010-01-04
35,results,pass
35,longitude,-87.64475457
35,state,il
35,akaname,cafe 608
35,latitude,41.93800688
35,dbaname,cafe 608
35,facilitytype,restaurant
36,city,chicago
36,zip,60613
36,risk,risk 1 (high)
36,license,46211
36,inspectiontype,canvass
36,inspectionid,52235
36,address,4015 n ashland ave
36,inspectiondate,2010-01-22
36,results,fail
36,longitude,-87.66891643
36,state,il
36,akaname,lake view (h/s)
36,latitude,41.95478361
36,dbaname,lake view (h/s)
36,facilitytype,school
37,city,chicago
37,zip,60613
37,risk,risk 1 (high)
37,license,1305059
37,inspectiontype,canvass re-inspection
37,inspectionid,52236
37,address,3952 n ashland ave
37,inspectiondate,2010-01-22
37,results,pass w/ conditions
37,longitude,-87.66918631
37,state,il
37,akaname,lakeview subway
37,latitude,41.953978
37,dbaname,lakeview subway
37,facilitytype,restaurant
38,city,chicago
38,zip,60613
38,risk,risk 1 (high)
38,license,29401
38,inspectiontype,canvass
38,inspectionid,52237
38,address,4140 n marine dr
38,inspectiondate,2010-02-18
38,results,fail
38,longitude,-87.6461175
38,state,il
38,akaname,disney magnet
38,latitude,41.95680712
38,dbaname,disney magnet
38,facilitytype,school
39,city,chicago
39,zip,60613
39,risk,risk 1 (high)
39,license,29401
39,inspectiontype,consultation
39,inspectionid,52238
39,address,4140 n marine dr
39,inspectiondate,2010-03-05
39,results,fail
39,longitude,-87.6461175
39,state,il
39,akaname,disney magnet
39,latitude,41.95680712
39,dbaname,disney magnet
39,facilitytype,school
40,city,chicago
40,zip,60613
40,risk,risk 1 (high)
40,license,29401
40,inspectiontype,canvass re-inspection
40,inspectionid,52239
40,address,4140 n marine dr
40,inspectiondate,2010-03-09
40,results,pass
40,longitude,-87.6461175
40,state,il
40,akaname,disney magnet
40,latitude,41.95680712
40,dbaname,disney magnet
40,facilitytype,school
41,city,chicago
41,zip,60660
41,risk,risk 1 (high)
41,license,1515987
41,inspectiontype,canvass re-inspection
41,inspectionid,52240
41,address,6330 n sheridan rd
41,inspectiondate,2010-03-10
41,results,fail
41,longitude,-87.65575405
41,state,il
41,akaname,lakeside boarding home
41,latitude,41.99725812
41,dbaname,lakeside boarding home
41,facilitytype,long term care
42,city,chicago
42,zip,60613
42,risk,risk 1 (high)
42,license,74931
42,inspectiontype,canvass re-inspection
42,inspectionid,52241
42,address,4131 n sheridan rd
42,inspectiondate,2010-03-19
42,results,pass
42,longitude,-87.65448098
42,state,il
42,akaname,eden  supportive  living
42,latitude,41.95746872
42,dbaname,eden  supportive  living
42,facilitytype,long term care
43,city,chicago
43,zip,60613
43,risk,risk 1 (high)
43,license,29191
43,inspectiontype,canvass
43,inspectionid,52242
43,address,851 w waveland
43,inspectiondate,2010-03-23
43,results,pass w/ conditions
43,longitude,-87.65153745
43,state,il
43,akaname,inter-american
43,latitude,41.94897646
43,dbaname,inter-american
43,facilitytype,school
44,city,chicago
44,zip,60613
44,risk,risk 1 (high)
44,license,12630
44,inspectiontype,canvass
44,inspectionid,52243
44,address,1600 w irving park rd
44,inspectiondate,2010-03-31
44,results,pass w/ conditions
44,longitude,-87.66911287
44,state,il
44,akaname,popeyes
44,latitude,41.9543993
44,dbaname,popeyes #2857
44,facilitytype,restaurant
45,city,chicago
45,zip,60640
45,risk,risk 1 (high)
45,license,0
45,inspectiontype,complaint
45,inspectionid,52244
45,address,941 w lawrence ave
45,inspectiondate,2010-04-14
45,results,fail
45,longitude,-87.65405445
45,state,il
45,akaname,peoples church of chicago
45,latitude,41.96899004
45,dbaname,peoples church of chicago
45,facilitytype,soup kitchen
46,city,chicago
46,zip,60613
46,risk,risk 1 (high)
46,license,1767227
46,inspectiontype,canvass
46,inspectionid,52245
46,address,1814 w irving park rd
46,inspectiondate,2010-04-16
46,results,fail
46,longitude,-87.67483357
46,state,il
46,akaname,i-cafe
46,latitude,41.95431724
46,dbaname,i-cafe
46,facilitytype,restaurant
47,city,chicago
47,zip,60613
47,risk,risk 1 (high)
47,license,77784
47,inspectiontype,license
47,inspectionid,52246
47,address,1911 w irving park rd
47,inspectiondate,2010-04-19
47,results,fail
47,longitude,-87.67682369
47,state,il
47,akaname,"children's creative center, inc."
47,latitude,41.95407205
47,dbaname,"children's creative center, inc."
47,facilitytype,daycare (2 - 6 years)
48,city,chicago
48,zip,60640
48,risk,risk 1 (high)
48,license,0
48,inspectiontype,complaint re-inspection
48,inspectionid,52247
48,address,941 w lawrence ave
48,inspectiondate,2010-04-21
48,results,pass
48,longitude,-87.65405445
48,state,il
48,akaname,peoples church of chicago
48,latitude,41.96899004
48,dbaname,peoples church of chicago
48,facilitytype,soup kitchen
49,city,chicago
49,zip,60613
49,risk,risk 1 (high)
49,license,66696
49,inspectiontype,license
49,inspectionid,52248
49,address,1733 w irving park rd
49,inspectiondate,2010-04-23
49,results,pass
49,longitude,-87.67277541
49,state,il
49,akaname,apple tree learning center
49,latitude,41.95412784
49,dbaname,apple tree learning center
49,facilitytype,daycare (2 - 6 years)
50,city,chicago
50,zip,60613
50,risk,risk 1 (high)
50,license,44217
50,inspectiontype,license
50,inspectionid,52249
50,address,640 w irving park rd
50,inspectiondate,2010-04-26
50,results,fail
50,longitude,-87.64658231
50,state,il
50,akaname,park view montessori school #3
50,latitude,41.95472485
50,dbaname,park view montessori school #3
50,facilitytype,daycare (2 - 6 years)
51,city,chicago
51,zip,60613
51,risk,risk 1 (high)
51,license,1650257
51,inspectiontype,license re-inspection
51,inspectionid,52250
51,address,835-837 w sheridan rd
51,inspectiondate,2010-04-27
51,results,pass
51,longitude,-87.65104544
51,state,il
51,akaname,kc's academy of early childhood
51,latitude,41.95261657
51,dbaname,kc's academy of early childhood
51,facilitytype,daycare (2 - 6 years)
52,city,chicago
52,zip,60613
52,risk,risk 1 (high)
52,license,1942679
52,inspectiontype,canvass
52,inspectionid,52251
52,address,1942 w irving park rd
52,inspectiondate,2010-04-28
52,results,fail
52,longitude,-87.6780333
52,state,il
52,akaname,orange garden restaurant llc
52,latitude,41.95427602
52,dbaname,orange garden restaurant llc
52,facilitytype,restaurant
53,city,chicago
53,zip,60613
53,risk,risk 1 (high)
53,license,1942679
53,inspectiontype,canvass re-inspection
53,inspectionid,52253
53,address,1942 w irving park rd
53,inspectiondate,2010-05-05
53,results,pass
53,longitude,-87.6780333
53,state,il
53,akaname,orange garden restaurant llc
53,latitude,41.95427602
53,dbaname,orange garden restaurant llc
53,facilitytype,restaurant
54,city,chicago
54,zip,60613
54,risk,risk 1 (high)
54,license,1985321
54,inspectiontype,canvass
54,inspectionid,52254
54,address,1938 w irving park rd
54,inspectiondate,2010-05-05
54,results,pass
54,longitude,-87.67788273
54,state,il
54,akaname,red brick
54,latitude,41.95427796
54,dbaname,red brick
54,facilitytype,restaurant
55,city,chicago
55,zip,60613
55,risk,risk 3 (low)
55,license,1985322
55,inspectiontype,canvass
55,inspectionid,52255
55,address,1938 w irving park rd
55,inspectiondate,2010-05-05
55,results,pass
55,longitude,-87.67788273
55,state,il
55,akaname,red brick
55,latitude,41.95427796
55,dbaname,red brick
55,facilitytype,restaurant
56,city,chicago
56,zip,60613
56,risk,risk 1 (high)
56,license,1942679
56,inspectiontype,suspected food poisoning
56,inspectionid,52256
56,address,1942 w irving park rd
56,inspectiondate,2010-05-11
56,results,fail
56,longitude,-87.6780333
56,state,il
56,akaname,orange garden restaurant llc
56,latitude,41.95427602
56,dbaname,orange garden restaurant llc
56,facilitytype,restaurant
57,city,chicago
57,zip,60660
57,risk,risk 1 (high)
57,license,66191
57,inspectiontype,canvass
57,inspectionid,52257
57,address,1643 w bryn mawr ave
57,inspectiondate,2010-05-12
57,results,pass
57,longitude,-87.6711545
57,state,il
57,akaname,passages  charter school
57,latitude,41.98334408
57,dbaname,passages  charter school
57,facilitytype,school
58,city,chicago
58,zip,60640
58,risk,risk 1 (high)
58,license,25501
58,inspectiontype,canvass
58,inspectionid,52258
58,address,4420 n beacon (1338w)
58,inspectiondate,2010-05-18
58,results,fail
58,longitude,-87.66388983
58,state,il
58,akaname,stockton
58,latitude,41.9623189
58,dbaname,stockton
58,facilitytype,school
59,city,chicago
59,zip,60613
59,risk,risk 1 (high)
59,license,1044305
59,inspectiontype,canvass
59,inspectionid,52259
59,address,3700 n halsted st
59,inspectiondate,2010-05-18
59,results,pass w/ conditions
59,longitude,-87.64968984
59,state,il
59,akaname,kit kat lounge and restaurant
59,latitude,41.94914734
59,dbaname,kit kat lounge and restaurant
59,facilitytype,restaurant
60,city,chicago
60,zip,60613
60,risk,risk 1 (high)
60,license,79417
60,inspectiontype,canvass
60,inspectionid,52260
60,address,1920 w irving park rd
60,inspectiondate,2010-05-21
60,results,pass
60,longitude,-87.67720518
60,state,il
60,akaname,katerina's street of dreams
60,latitude,41.9542867
60,dbaname,katerina's street of dreams
60,facilitytype,restaurant
61,city,chicago
61,zip,60613
61,risk,risk 1 (high)
61,license,6282
61,inspectiontype,canvass re-inspection
61,inspectionid,52261
61,address,1959 w montrose ave
61,inspectiondate,2010-05-24
61,results,pass
61,longitude,-87.67830516
61,state,il
61,akaname,oakwood '83
61,latitude,41.96135532
61,dbaname,oakwood '83
61,facilitytype,restaurant
62,city,chicago
62,zip,60640
62,risk,risk 1 (high)
62,license,25501
62,inspectiontype,canvass re-inspection
62,inspectionid,52262
62,address,4420 n beacon (1338w)
62,inspectiondate,2010-05-26
62,results,pass
62,longitude,-87.66388983
62,state,il
62,akaname,stockton
62,latitude,41.9623189
62,dbaname,stockton
62,facilitytype,school
63,city,chicago
63,zip,60613
63,risk,risk 1 (high)
63,license,1800521
63,inspectiontype,canvass
63,inspectionid,52263
63,address,1625 w irving park rd
63,inspectiondate,2010-06-09
63,results,pass w/ conditions
63,longitude,-87.67012784
63,state,il
63,akaname,the  piggery
63,latitude,41.95416537
63,dbaname,cordis brothers supper club
63,facilitytype,restaurant
64,city,chicago
64,zip,60613
64,risk,risk 1 (high)
64,license,1356070
64,inspectiontype,complaint
64,inspectionid,52264
64,address,3949 n ashland ave
64,inspectiondate,2010-06-10
64,results,pass w/ conditions
64,longitude,-87.66888934
64,state,il
64,akaname,young's restaurant
64,latitude,41.95387291
64,dbaname,young's restaurant
64,facilitytype,restaurant
65,city,chicago
65,zip,60613
65,risk,risk 2 (medium)
65,license,39977
65,inspectiontype,complaint
65,inspectionid,52265
65,address,1332 w irving park rd
65,inspectiondate,2010-06-11
65,results,pass
65,longitude,-87.66358644
65,state,il
65,akaname,filipino american council
65,latitude,41.95447295
65,dbaname,filipino american council
65,facilitytype,restaurant
66,city,chicago
66,zip,60613
66,risk,risk 1 (high)
66,license,2032636
66,inspectiontype,canvass
66,inspectionid,52266
66,address,1332 w irving park rd
66,inspectiondate,2010-06-11
66,results,pass
66,longitude,-87.66358644
66,state,il
66,akaname,rizal center(golden diner)
66,latitude,41.95447295
66,dbaname,filipino american council
66,facilitytype,restaurant
67,city,chicago
67,zip,60613
67,risk,risk 2 (medium)
67,license,1899258
67,inspectiontype,short form complaint
67,inspectionid,52267
67,address,1435 w montrose ave
67,inspectiondate,2010-06-24
67,results,pass
67,longitude,-87.66634371
67,state,il
67,akaname,sarpinos pizzeria
67,latitude,41.96152004
67,dbaname,sarpinos pizzeria
67,facilitytype,restaurant
68,city,chicago
68,zip,60613
68,risk,risk 1 (high)
68,license,1845360
68,inspectiontype,canvass re-inspection
68,inspectionid,52268
68,address,1713 w cullom ave
68,inspectiondate,2010-06-30
68,results,pass
68,longitude,-87.67135903
68,state,il
68,akaname,"chicago montessori, nfp"
68,latitude,41.95962989
68,dbaname,"chicago montessori, nfp"
68,facilitytype,daycare (2 - 6 years)
69,city,chicago
69,zip,60613
69,risk,risk 1 (high)
69,license,1352227
69,inspectiontype,canvass
69,inspectionid,52269
69,address,4000 n sheridan rd
69,inspectiondate,2010-06-30
69,results,fail
69,longitude,-87.65469302
69,state,il
69,akaname,holiday club
69,latitude,41.95453269
69,dbaname,holiday club
69,facilitytype,restaurant
70,city,chicago
70,zip,60613
70,risk,risk 1 (high)
70,license,1336958
70,inspectiontype,canvass
70,inspectionid,52270
70,address,1919-1921 w montrose ave
70,inspectiondate,2010-07-01
70,results,pass
70,longitude,-87.67682523
70,state,il
70,akaname,chicago's pizza
70,latitude,41.96137293
70,dbaname,chicago's pizza
70,facilitytype,restaurant
71,city,chicago
71,zip,60613
71,risk,risk 2 (medium)
71,license,1542300
71,inspectiontype,canvass
71,inspectionid,52271
71,address,4181 n clarendon ave
71,inspectiondate,2010-07-07
71,results,pass w/ conditions
71,longitude,-87.64965206
71,state,il
71,akaname,dollop  coffee co.
71,latitude,41.95794015
71,dbaname,dollop  coffee co.
71,facilitytype,restaurant
72,city,chicago
72,zip,60613
72,risk,risk 1 (high)
72,license,1352227
72,inspectiontype,canvass re-inspection
72,inspectionid,52272
72,address,4000 n sheridan rd
72,inspectiondate,2010-07-08
72,results,pass
72,longitude,-87.65469302
72,state,il
72,akaname,holiday club
72,latitude,41.95453269
72,dbaname,holiday club
72,facilitytype,restaurant
73,city,chicago
73,zip,60651
73,risk,risk 1 (high)
73,license,1992130
73,inspectiontype,complaint
73,inspectionid,54212
73,address,5915 w division st
73,inspectiondate,2010-01-05
73,results,pass
73,longitude,-87.77363179
73,state,il
73,akaname,dons pizza & grill
73,latitude,41.90191359
73,dbaname,dons pizza & grill
73,facilitytype,restaurant
74,city,chicago
74,zip,60651
74,risk,risk 3 (low)
74,license,13541
74,inspectiontype,canvass
74,inspectionid,54213
74,address,5921 w division st
74,inspectiondate,2010-01-05
74,results,pass
74,longitude,-87.77390477
74,state,il
74,akaname,sunset liquors
74,latitude,41.90190966
74,dbaname,sunset liquors
74,facilitytype,grocery store
75,city,chicago
75,zip,60651
75,risk,risk 2 (medium)
75,license,1649847
75,inspectiontype,canvass
75,inspectionid,54214
75,address,800 n kedzie ave
75,inspectiondate,2010-01-06
75,results,pass w/ conditions
75,longitude,-87.70670533
75,state,il
75,akaname,dunkin donuts / baskin robbins
75,latitude,41.89561531
75,dbaname,dunkin donuts / baskin robbins
75,facilitytype,restaurant
76,city,chicago
76,zip,60651
76,risk,risk 2 (medium)
76,license,1194275
76,inspectiontype,complaint
76,inspectionid,54215
76,address,800 n kedzie ave
76,inspectiondate,2010-01-06
76,results,pass
76,longitude,-87.70670533
76,state,il
76,akaname,j & j fish
76,latitude,41.89561531
76,dbaname,j & j fish
76,facilitytype,restaurant
77,city,chicago
77,zip,60651
77,risk,risk 2 (medium)
77,license,1974637
77,inspectiontype,complaint
77,inspectionid,54216
77,address,3450 w chicago ave
77,inspectiondate,2010-01-06
77,results,pass w/ conditions
77,longitude,-87.71344867
77,state,il
77,akaname,blue sharks
77,latitude,41.89559733
77,dbaname,blue sharks
77,facilitytype,restaurant
78,city,chicago
78,zip,60651
78,risk,risk 1 (high)
78,license,1742764
78,inspectiontype,complaint
78,inspectionid,54217
78,address,5648 w chicago ave
78,inspectiondate,2010-01-07
78,results,fail
78,longitude,-87.76732423
78,state,il
78,akaname,barney's pizza
78,latitude,41.89493601
78,dbaname,barney's pizza
78,facilitytype,restaurant
79,city,chicago
79,zip,60651
79,risk,risk 1 (high)
79,license,1819281
79,inspectiontype,canvass
79,inspectionid,54218
79,address,5614 w chicago ave
79,inspectiondate,2010-01-07
79,results,pass
79,longitude,-87.76606263
79,state,il
79,akaname,happy dog avenue
79,latitude,41.89495336
79,dbaname,happy dog avenue
79,facilitytype,restaurant
80,city,chicago
80,zip,60651
80,risk,risk 2 (medium)
80,license,2013259
80,inspectiontype,license re-inspection
80,inspectionid,54219
80,address,1000 n monticello ave
80,inspectiondate,2010-01-08
80,results,pass
80,longitude,-87.71780427
80,state,il
80,akaname,"monticello food mart, inc"
80,latitude,41.89918623
80,dbaname,"monticello food mart, inc"
80,facilitytype,grocery store
81,city,chicago
81,zip,60651
81,risk,risk 2 (medium)
81,license,2008833
81,inspectiontype,license
81,inspectionid,54220
81,address,5107 w chicago ave
81,inspectiondate,2010-01-11
81,results,fail
81,longitude,-87.75348965
81,state,il
81,akaname,abe's and tommie's carryout
81,latitude,41.8948497
81,dbaname,abe's and tommie's carryout
81,facilitytype,restaurant
82,city,chicago
82,zip,60651
82,risk,risk 1 (high)
82,license,2034637
82,inspectiontype,complaint
82,inspectionid,54221
82,address,932 n central ave
82,inspectiondate,2010-01-11
82,results,pass
82,longitude,-87.76564297
82,state,il
82,akaname,milton brunson elementary
82,latitude,41.89767761
82,dbaname,milton brunson elementary
82,facilitytype,school
83,city,chicago
83,zip,60644
83,risk,risk 1 (high)
83,license,1938489
83,inspectiontype,complaint
83,inspectionid,54222
83,address,633 n cicero ave
83,inspectiondate,2010-01-11
83,results,fail
83,longitude,-87.74556872
83,state,il
83,akaname,yo mamas pizza
83,latitude,41.89231802
83,dbaname,yo mamas pizza
83,facilitytype,restaurant
84,city,chicago
84,zip,60651
84,risk,risk 1 (high)
84,license,1909605
84,inspectiontype,canvass
84,inspectionid,54223
84,address,800 n kedzie ave
84,inspectiondate,2010-01-12
84,results,pass
84,longitude,-87.70670533
84,state,il
84,akaname,subway
84,latitude,41.89561531
84,dbaname,subway
84,facilitytype,restaurant
85,city,chicago
85,zip,60651
85,risk,risk 2 (medium)
85,license,60297
85,inspectiontype,canvass
85,inspectionid,54224
85,address,3357 w chicago ave
85,inspectiondate,2010-01-12
85,results,pass
85,longitude,-87.71121631
85,state,il
85,akaname,beefee submarine inc
85,latitude,41.89539877
85,dbaname,beefee submarine inc
85,facilitytype,restaurant
86,city,chicago
86,zip,60651
86,risk,risk 2 (medium)
86,license,1868353
86,inspectiontype,canvass
86,inspectionid,54225
86,address,800 n kedzie ave
86,inspectiondate,2010-01-12
86,results,pass w/ conditions
86,longitude,-87.70670533
86,state,il
86,akaname,little caesar pizza
86,latitude,41.89561531
86,dbaname,little caesar pizza
86,facilitytype,restaurant
87,city,chicago
87,zip,60651
87,risk,risk 1 (high)
87,license,1227055
87,inspectiontype,canvass
87,inspectionid,54226
87,address,800 n kedzie ave
87,inspectiondate,2010-01-12
87,results,pass
87,longitude,-87.70670533
87,state,il
87,akaname,see thru chinese restaurant
87,latitude,41.89561531
87,dbaname,see thru chinese restaurant
87,facilitytype,restaurant
88,city,chicago
88,zip,60651
88,risk,risk 1 (high)
88,license,1986621
88,inspectiontype,canvass
88,inspectionid,54227
88,address,5619 w division st
88,inspectiondate,2010-01-13
88,results,pass
88,longitude,-87.76641277
88,state,il
88,akaname,subway
88,latitude,41.9020223
88,dbaname,subway
88,facilitytype,restaurant
89,city,chicago
89,zip,60651
89,risk,risk 2 (medium)
89,license,1922193
89,inspectiontype,canvass
89,inspectionid,54228
89,address,5601 w division st
89,inspectiondate,2010-01-13
89,results,fail
89,longitude,-87.76571211
89,state,il
89,akaname,firehouse steak and lemonade
