_tid_,attribute
332,ZipCode
340,ZipCode
366,ZipCode
375,ZipCode
406,ZipCode
420,ZipCode
428,ZipCode
490,ZipCode
499,ZipCode
544,ZipCode
679,ZipCode
685,ZipCode
710,ZipCode
750,ZipCode
815,ZipCode
923,ZipCode
67,CountyName
72,CountyName
77,CountyName
136,CountyName
216,CountyName
221,CountyName
223,CountyName
227,CountyName
238,CountyName
252,CountyName
312,CountyName
324,CountyName
346,CountyName
415,CountyName
456,CountyName
457,CountyName
465,CountyName
502,CountyName
513,CountyName
527,CountyName
540,CountyName
551,CountyName
578,CountyName
590,CountyName
602,CountyName
633,CountyName
672,CountyName
689,CountyName
692,CountyName
698,CountyName
722,CountyName
730,CountyName
752,CountyName
785,CountyName
798,CountyName
895,CountyName
917,CountyName
943,CountyName
966,CountyName
24,PhoneNumber
36,PhoneNumber
57,PhoneNumber
60,PhoneNumber
65,PhoneNumber
101,PhoneNumber
217,PhoneNumber
228,PhoneNumber
247,PhoneNumber
261,PhoneNumber
321,PhoneNumber
342,PhoneNumber
381,PhoneNumber
384,PhoneNumber
386,PhoneNumber
393,PhoneNumber
471,PhoneNumber
516,PhoneNumber
548,PhoneNumber
561,PhoneNumber
562,PhoneNumber
572,PhoneNumber
593,PhoneNumber
666,PhoneNumber
699,PhoneNumber
713,PhoneNumber
751,PhoneNumber
763,PhoneNumber
824,PhoneNumber
855,PhoneNumber
865,PhoneNumber
881,PhoneNumber
883,PhoneNumber
916,PhoneNumber
16,HospitalType
39,HospitalType
98,HospitalType
199,HospitalType
213,HospitalType
266,HospitalType
280,HospitalType
293,HospitalType
411,HospitalType
413,HospitalType
453,HospitalType
490,HospitalType
493,HospitalType
497,HospitalType
511,HospitalType
532,HospitalType
588,HospitalType
634,HospitalType
695,HospitalType
705,HospitalType
729,HospitalType
779,HospitalType
782,HospitalType
814,HospitalType
848,HospitalType
877,HospitalType
902,HospitalType
926,HospitalType
949,HospitalType
956,HospitalType
964,HospitalType
976,HospitalType
22,HospitalOwner
27,HospitalOwner
31,HospitalOwner
42,HospitalOwner
113,HospitalOwner
157,HospitalOwner
159,HospitalOwner
162,HospitalOwner
164,HospitalOwner
216,HospitalOwner
218,HospitalOwner
221,HospitalOwner
238,HospitalOwner
247,HospitalOwner
313,HospitalOwner
332,HospitalOwner
356,HospitalOwner
449,HospitalOwner
456,HospitalOwner
493,HospitalOwner
526,HospitalOwner
572,HospitalOwner
744,HospitalOwner
784,HospitalOwner
846,HospitalOwner
868,HospitalOwner
872,HospitalOwner
24,EmergencyService
43,EmergencyService
51,EmergencyService
157,EmergencyService
318,EmergencyService
327,EmergencyService
332,EmergencyService
350,EmergencyService
374,EmergencyService
389,EmergencyService
410,EmergencyService
418,EmergencyService
492,EmergencyService
521,EmergencyService
536,EmergencyService
564,EmergencyService
579,EmergencyService
587,EmergencyService
628,EmergencyService
653,EmergencyService
674,EmergencyService
797,EmergencyService
809,EmergencyService
866,EmergencyService
889,EmergencyService
919,EmergencyService
921,EmergencyService
21,Condition
22,Condition
73,Condition
127,Condition
199,Condition
225,Condition
229,Condition
236,Condition
239,Condition
256,Condition
279,Condition
366,Condition
369,Condition
386,Condition
400,Condition
467,Condition
506,Condition
555,Condition
599,Condition
608,Condition
631,Condition
679,Condition
695,Condition
698,Condition
712,Condition
716,Condition
733,Condition
780,Condition
851,Condition
869,Condition
955,Condition
974,Condition
97,MeasureCode
101,MeasureCode
108,MeasureCode
120,MeasureCode
177,MeasureCode
190,MeasureCode
264,MeasureCode
349,MeasureCode
391,MeasureCode
398,MeasureCode
409,MeasureCode
464,MeasureCode
495,MeasureCode
580,MeasureCode
639,MeasureCode
648,MeasureCode
673,MeasureCode
676,MeasureCode
691,MeasureCode
694,MeasureCode
718,MeasureCode
729,MeasureCode
735,MeasureCode
749,MeasureCode
774,MeasureCode
788,MeasureCode
842,MeasureCode
865,MeasureCode
930,MeasureCode
0,MeasureName
94,MeasureName
111,MeasureName
119,MeasureName
145,MeasureName
210,MeasureName
219,MeasureName
256,MeasureName
281,MeasureName
290,MeasureName
346,MeasureName
380,MeasureName
389,MeasureName
434,MeasureName
447,MeasureName
473,MeasureName
493,MeasureName
507,MeasureName
532,MeasureName
541,MeasureName
545,MeasureName
562,MeasureName
612,MeasureName
650,MeasureName
651,MeasureName
672,MeasureName
705,MeasureName
706,MeasureName
713,MeasureName
785,MeasureName
802,MeasureName
816,MeasureName
893,MeasureName
902,MeasureName
915,MeasureName
997,MeasureName
120,Score
158,Score
163,Score
187,Score
208,Score
237,Score
238,Score
252,Score
256,Score
336,Score
378,Score
405,Score
411,Score
426,Score
488,Score
506,Score
514,Score
698,Score
711,Score
718,Score
769,Score
860,Score
888,Score
17,Sample
166,Sample
354,Sample
462,Sample
523,Sample
546,Sample
56,Stateavg
69,Stateavg
193,Stateavg
213,Stateavg
244,Stateavg
248,Stateavg
269,Stateavg
334,Stateavg
347,Stateavg
370,Stateavg
373,Stateavg
387,Stateavg
477,Stateavg
555,Stateavg
564,Stateavg
567,Stateavg
622,Stateavg
646,Stateavg
678,Stateavg
721,Stateavg
760,Stateavg
764,Stateavg
787,Stateavg
796,Stateavg
827,Stateavg
842,Stateavg
920,Stateavg
